id,dep,nom_simple,nom,nom_espace,nom_reel,long,lat
1,1,ozan,OZAN,ozan,Ozan,4.91667,46.3833
2,1,cormoranche-sur-saone,CORMORANCHE-SUR-SAONE,cormoranche sur saone,Cormoranche-sur-Saône,4.83333,46.2333
3,1,plagne-01,PLAGNE,plagne,Plagne,5.73333,46.1833
4,1,tossiat,TOSSIAT,tossiat,Tossiat,5.31667,46.1333
5,1,pouillat,POUILLAT,pouillat,Pouillat,5.43333,46.3333
6,1,torcieu,TORCIEU,torcieu,Torcieu,5.4,45.9167
7,1,replonges,REPLONGES,replonges,Replonges,4.88333,46.3
8,1,corcelles,CORCELLES,corcelles,Corcelles,5.58333,46.0333
9,1,peron,PERON,peron,Péron,5.93333,46.2
10,1,relevant,RELEVANT,relevant,Relevant,4.95,46.0833
11,1,chaveyriat,CHAVEYRIAT,chaveyriat,Chaveyriat,5.06667,46.1833
12,1,vaux-en-bugey,VAUX-EN-BUGEY,vaux en bugey,Vaux-en-Bugey,5.35,45.9167
13,1,maillat,MAILLAT,maillat,Maillat,5.55,46.1333
14,1,faramans-01,FARAMANS,faramans,Faramans,5.11667,45.9
15,1,beon-01,BEON,beon,Béon,5.75,45.8333
16,1,saint-bernard-01,SAINT-BERNARD,saint bernard,Saint-Bernard,4.73723,45.945
17,1,rossillon,ROSSILLON,rossillon,Rossillon,5.6,45.8333
18,1,pont-d-ain,PONT-D'AIN,pont d ain,Pont-d'Ain,5.33333,46.05
19,1,nantua,NANTUA,nantua,Nantua,5.61667,46.15
20,1,chavannes-sur-reyssouze,CHAVANNES-SUR-REYSSOUZE,chavannes sur reyssouze,Chavannes-sur-Reyssouze,5,46.4333
21,1,neuville-les-dames,NEUVILLE-LES-DAMES,neuville les dames,Neuville-les-Dames,5,46.1667
22,1,flaxieu,FLAXIEU,flaxieu,Flaxieu,5.73333,45.8167
23,1,hotonnes,HOTONNES,hotonnes,Hotonnes,5.68333,46
24,1,saint-sorlin-en-bugey,SAINT-SORLIN-EN-BUGEY,saint sorlin en bugey,Saint-Sorlin-en-Bugey,5.36667,45.8833
25,1,songieu,SONGIEU,songieu,Songieu,5.7,45.9667
26,1,virieu-le-petit,VIRIEU-LE-PETIT,virieu le petit,Virieu-le-Petit,5.71667,45.9
27,1,saint-denis-en-bugey,SAINT-DENIS-EN-BUGEY,saint denis en bugey,Saint-Denis-en-Bugey,5.33333,45.95
28,1,charnoz-sur-ain,CHARNOZ-SUR-AIN,charnoz sur ain,Charnoz-sur-Ain,5.21667,45.8667
29,1,chazey-sur-ain,CHAZEY-SUR-AIN,chazey sur ain,Chazey-sur-Ain,5.25,45.9
30,1,marchamp,MARCHAMP,marchamp,Marchamp,5.55,45.7833
31,1,culoz,CULOZ,culoz,Culoz,5.78333,45.85
32,1,mantenay-montlin,MANTENAY-MONTLIN,mantenay montlin,Mantenay-Montlin,5.08333,46.4167
33,1,marboz,MARBOZ,marboz,Marboz,5.25,46.3333
34,1,foissiat,FOISSIAT,foissiat,Foissiat,5.18333,46.3667
35,1,treffort-cuisiat,TREFFORT-CUISIAT,treffort cuisiat,Treffort-Cuisiat,5.36834,46.2714
36,1,izieu,IZIEU,izieu,Izieu,5.63333,45.65
37,1,saint-etienne-du-bois-01,SAINT-ETIENNE-DU-BOIS,saint etienne du bois,Saint-Étienne-du-Bois,5.28333,46.2833
38,1,hauteville-lompnes,HAUTEVILLE-LOMPNES,hauteville lompnes,Hauteville-Lompnes,5.6,45.9667
39,1,saint-trivier-sur-moignans,SAINT-TRIVIER-SUR-MOIGNANS,saint trivier sur moignans,Saint-Trivier-sur-Moignans,4.9,46.0667
40,1,peyriat,PEYRIAT,peyriat,Peyriat,5.51667,46.15
41,1,evosges,EVOSGES,evosges,Évosges,5.5,45.9583
42,1,poncin,PONCIN,poncin,Poncin,5.4,46.0833
43,1,crans-01,CRANS,crans,Crans,5.21667,45.9667
44,1,montreal-la-cluse,MONTREAL-LA-CLUSE,montreal la cluse,Montréal-la-Cluse,5.57084,46.1867
45,1,cleyzieu,CLEYZIEU,cleyzieu,Cleyzieu,5.43333,45.9
46,1,lompnieu,LOMPNIEU,lompnieu,Lompnieu,5.65,45.9667
47,1,villereversure,VILLEREVERSURE,villereversure,Villereversure,5.38333,46.1833
48,1,saint-martin-du-mont-01,SAINT-MARTIN-DU-MONT,saint martin du mont,Saint-Martin-du-Mont,5.33333,46.1
49,1,saint-genis-pouilly,SAINT-GENIS-POUILLY,saint genis pouilly,Saint-Genis-Pouilly,6.01667,46.25
50,1,bolozon,BOLOZON,bolozon,Bolozon,5.48333,46.2
51,1,confrancon,CONFRANCON,confrancon,Confrançon,5.06667,46.2667
52,1,lochieu,LOCHIEU,lochieu,Lochieu,5.71667,45.9333
53,1,chanoz-chatenay,CHANOZ-CHATENAY,chanoz chatenay,Chanoz-Châtenay,5.03333,46.1833
54,1,villebois,VILLEBOIS,villebois,Villebois,5.43333,45.85
55,1,ceignes,CEIGNES,ceignes,Ceignes,5.5,46.1167
56,1,saint-didier-sur-chalaronne,SAINT-DIDIER-SUR-CHALARONNE,saint didier sur chalaronne,Saint-Didier-sur-Chalaronne,4.81667,46.1667
57,1,revonnas,REVONNAS,revonnas,Revonnas,5.33333,46.1667
58,1,bourg-saint-christophe,BOURG-SAINT-CHRISTOPHE,bourg saint christophe,Bourg-Saint-Christophe,5.16667,45.8833
59,1,condeissiat,CONDEISSIAT,condeissiat,Condeissiat,5.08333,46.1667
60,1,pirajoux,PIRAJOUX,pirajoux,Pirajoux,5.3,46.3833
61,1,chalamont,CHALAMONT,chalamont,Chalamont,5.16667,46
62,1,plantay,LE PLANTAY,le plantay,Le Plantay,5.08333,46.0167
63,1,versailleux,VERSAILLEUX,versailleux,Versailleux,5.1,45.9833
64,1,montagnat,MONTAGNAT,montagnat,Montagnat,5.28333,46.1667
65,1,vieu,VIEU,vieu,Vieu,5.68333,45.9
66,1,saint-andre-de-corcy,SAINT-ANDRE-DE-CORCY,saint andre de corcy,Saint-André-de-Corcy,4.95,45.9167
67,1,bressolles-01,BRESSOLLES,bressolles,Bressolles,5.1,45.8667
68,1,peronnas,PERONNAS,peronnas,Péronnas,5.2,46.1833
69,1,colomieu,COLOMIEU,colomieu,Colomieu,5.61667,45.7333
70,1,monthieux,MONTHIEUX,monthieux,Monthieux,4.93333,45.95
71,1,saint-jean-sur-reyssouze,SAINT-JEAN-SUR-REYSSOUZE,saint jean sur reyssouze,Saint-Jean-sur-Reyssouze,5.06667,46.4
72,1,garnerans,GARNERANS,garnerans,Garnerans,4.83333,46.2
73,1,montrevel-en-bresse,MONTREVEL-EN-BRESSE,montrevel en bresse,Montrevel-en-Bresse,5.13333,46.3333
74,1,conand,CONAND,conand,Conand,5.46667,45.8833
75,1,challes-la-montagne,CHALLES-LA-MONTAGNE,challes la montagne,Challes-la-Montagne,5.46667,46.1333
76,1,mogneneins,MOGNENEINS,mogneneins,Mogneneins,4.81667,46.1333
77,1,thoissey,THOISSEY,thoissey,Thoissey,4.8,46.1667
78,1,chaleins,CHALEINS,chaleins,Chaleins,4.8,46.0333
79,1,neuville-sur-ain,NEUVILLE-SUR-AIN,neuville sur ain,Neuville-sur-Ain,5.36667,46.0833
80,1,thil-01,THIL,thil,Thil,5.01667,45.8167
81,1,jujurieux,JUJURIEUX,jujurieux,Jujurieux,5.41667,46.0333
82,1,oncieu,ONCIEU,oncieu,Oncieu,5.46667,45.95
83,1,lurcy,LURCY,lurcy,Lurcy,4.76667,46.0667
84,1,balan-01,BALAN,balan,Balan,5.1,45.8333
85,1,ambutrix,AMBUTRIX,ambutrix,Ambutrix,5.33333,45.9333
86,1,sainte-croix-01,SAINTE-CROIX,sainte croix,Sainte-Croix,5.05195,45.8942
87,1,blyes,BLYES,blyes,Blyes,5.25,45.85
88,1,conzieu,CONZIEU,conzieu,Conzieu,5.6,45.7333
89,1,nievroz,NIEVROZ,nievroz,Niévroz,5.06667,45.8333
90,1,nurieux-volognat,NURIEUX-VOLOGNAT,nurieux volognat,Nurieux-Volognat,5.52667,46.1856
91,1,ambleon,AMBLEON,ambleon,Ambléon,5.6,45.75
92,1,saint-maurice-de-gourdans,SAINT-MAURICE-DE-GOURDANS,saint maurice de gourdans,Saint-Maurice-de-Gourdans,5.2,45.8167
93,1,chezery-forens,CHEZERY-FORENS,chezery forens,Chézery-Forens,5.88333,46.2167
94,1,sault-brenaz,SAULT-BRENAZ,sault brenaz,Sault-Brénaz,5.41667,45.85
95,1,murs-et-gelignieux,MURS-ET-GELIGNIEUX,murs et gelignieux,Murs-et-Gélignieux,5.66667,45.6333
96,1,petit-abergement,LE PETIT-ABERGEMENT,le petit abergement,Le Petit-Abergement,5.65,46.0333
97,1,cormoz,CORMOZ,cormoz,Cormoz,5.23333,46.45
98,1,saint-martin-de-bavel,SAINT-MARTIN-DE-BAVEL,saint martin de bavel,Saint-Martin-de-Bavel,5.68333,45.85
99,1,saint-trivier-de-courtes,SAINT-TRIVIER-DE-COURTES,saint trivier de courtes,Saint-Trivier-de-Courtes,5.08333,46.4667
